date,high,low,close,change,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2014-03-12,163.6,155.78,158.53,-0.022506,167.2,134.01,1.0,246.809560067
2014-03-13,165.1,157.11,164.87,0.039992,167.2,135.39,1.0,256.679967993
2014-03-14,166.0,161.8,163.87,-0.006065,167.2,139.05,1.0,255.123203987
2014-03-17,166.66,162.01,166.47,0.015866,167.2,139.05,1.0,259.170988742
2014-03-18,176.2,168.3,171.32,0.029134,176.2,139.05,1.0,266.721676328
2014-03-19,175.0,169.0,174.37,0.017803,176.2,139.05,1.0,271.470122332
2014-03-20,174.5,169.0,169.18,-0.029764,176.2,139.05,1.0,263.390085611
2014-03-21,171.98,165.5,171.4,0.013122,176.2,139.05,1.0,266.846290314
2014-03-24,175.73,169.9,171.29,-0.000642,176.2,139.05,1.0,266.674974996
2014-03-25,168.4,155.59,166.81,-0.026154,176.2,139.05,1.0,259.700357699
2014-03-26,166.11,158.36,158.49,-0.049877,176.2,140.02,1.0,246.747282958
2014-03-27,160.8,156.4,157.66,-0.005237,176.2,144.95,1.0,245.455067438
2014-03-28,158.99,151.01,152.64,-0.031841,176.2,148.33,1.0,237.639532635
2014-03-31,157.38,152.0,154.7,0.013496,176.2,151.01,1.0,240.846715768
2014-04-01,162.55,154.4,162.49,0.050356,176.2,151.01,1.0,252.974792987
2014-04-02,169.66,161.03,165.64,0.019386,176.2,151.01,1.0,257.878962324
2014-04-03,167.69,163.5,165.31,-0.001992,176.2,151.01,1.0,257.365267431
2014-04-04,165.3,161.0,164.06,-0.007562,176.2,151.01,1.0,255.419071279
2014-04-08,165.42,161.01,164.54,0.002926,176.2,151.01,1.0,256.166427481
2014-04-09,166.63,162.13,163.35,-0.007232,176.2,151.01,1.0,254.313831878
2014-04-10,171.02,159.5,169.51,0.03771,176.2,151.01,1.0,263.904006478
2014-04-11,179.6,172.0,176.08,0.038759,179.6,151.01,1.0,274.132661865
2014-04-14,177.31,173.0,174.36,-0.009768,179.6,151.01,1.0,271.454934024
2014-04-15,175.87,173.2,174.49,0.000746,179.6,151.01,1.0,271.657439404
2014-04-16,174.56,170.19,171.02,-0.019887,179.6,151.01,1.0,266.254987907
2014-04-17,176.0,170.21,175.2,0.024442,179.6,151.01,1.0,272.762792321
