code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600519,2013-11-18,144.000000,144.860000,142.800000,143.490000,0.000349,4157171.000000,596980141.000000,148968448200.000000,148968448200.000000,0.004004,795.264883,2013-09-30,2013-10-16,10.672469,5.224956,10.949659,3.864219,115.762804
sh600519,2013-11-15,143.740000,144.620000,142.100000,143.440000,-0.004373,3359785.000000,481165007.000000,148916539200.000000,148916539200.000000,0.003236,794.987433,2013-09-30,2013-10-16,10.668746,5.223134,10.945839,3.862871,115.722417
sh600519,2013-11-14,145.000000,145.000000,141.690000,144.070000,-0.004491,2404202.000000,344294687.000000,149570592600.000000,149570592600.000000,0.002316,798.479182,2013-09-30,2013-10-16,10.715605,5.246075,10.993916,3.879837,116.230694
sh600519,2013-11-13,144.090000,146.450000,143.100000,144.720000,-0.000829,3188146.000000,460888127.000000,150245409600.000000,150245409600.000000,0.003071,802.081330,2013-09-30,2013-10-16,10.763946,5.269741,11.043512,3.897340,116.755041
sh600519,2013-11-12,139.420000,145.350000,139.050000,144.840000,0.037908,6947801.000000,997440468.000000,150369991200.000000,150369991200.000000,0.006692,802.746807,2013-09-30,2013-10-16,10.772877,5.274113,11.052675,3.900574,116.851911
sh600519,2013-11-11,138.000000,141.680000,136.180000,139.550000,0.025048,5232877.000000,729491561.000000,144878019000.000000,144878019000.000000,0.005040,773.427709,2013-09-30,2013-10-16,10.379414,5.081484,10.648993,3.758111,112.584074
sh600519,2013-11-08,138.600000,139.990000,136.010000,136.140000,-0.020364,2153743.000000,298492269.000000,141337825200.000000,141337825200.000000,0.002075,754.528285,2013-09-30,2013-10-16,10.125783,4.957314,10.388775,3.666278,109.832978
sh600519,2013-11-07,139.360000,139.880000,136.700000,138.970000,-0.004869,2135888.000000,294635357.000000,144275874600.000000,144275874600.000000,0.002057,770.212900,2013-09-30,2013-10-16,10.336271,5.060363,10.604730,3.742490,112.116110
sh600519,2013-11-06,138.280000,141.010000,137.500000,139.650000,0.011151,4444925.000000,619496988.000000,144981837000.000000,144981837000.000000,0.004281,773.981416,2013-09-30,2013-10-16,10.386845,5.085122,10.656617,3.760802,112.664674
sh600519,2013-11-05,135.800000,138.390000,134.700000,138.110000,0.012982,2784307.000000,381603609.000000,143383039800.000000,143383039800.000000,0.002682,765.445928,2013-09-30,2013-10-16,10.272298,5.029043,10.539095,3.719328,111.422205
sh600519,2013-11-04,135.450000,136.970000,135.270000,136.340000,0.008581,1943628.000000,264834002.000000,141545461200.000000,141545461200.000000,0.001872,755.636258,2013-09-30,2013-10-16,10.140652,4.964593,10.404030,3.671662,109.994260
sh600519,2013-11-01,134.330000,135.840000,133.800000,135.180000,0.000518,2215447.000000,299057620.000000,140341172400.000000,140341172400.000000,0.002134,749.207310,2013-09-30,2013-10-16,10.054376,4.922354,10.315513,3.640424,109.058430
sh600519,2013-10-31,132.650000,136.510000,132.500000,135.110000,0.019006,3489343.000000,471033933.000000,140268499800.000000,140268499800.000000,0.003361,748.819422,2013-09-30,2013-10-16,10.049170,4.919806,10.310172,3.638539,109.001966
sh600519,2013-10-30,132.980000,133.300000,131.960000,132.590000,-0.001581,2534346.000000,335579620.000000,137652286200.000000,137652286200.000000,0.002441,734.852809,2013-09-30,2013-10-16,9.861738,4.828044,10.117872,3.570675,106.968915
sh600519,2013-10-29,134.150000,134.660000,131.500000,132.800000,-0.008733,3518294.000000,468246860.000000,137870304000.000000,137870304000.000000,0.003389,736.016451,2013-09-30,2013-10-16,9.877354,4.835689,10.133893,3.576329,107.138301
sh600519,2013-10-28,135.780000,136.770000,133.260000,133.970000,-0.020186,3214102.000000,431472151.000000,139084974600.000000,139084974600.000000,0.003096,742.500710,2013-09-30,2013-10-16,9.964373,4.878291,10.223172,3.607836,108.082183
