code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f,MA_2,MA_20,MA_160
sh600519,2013-05-10,197.01,200.92,196.01,197.11,-0.000355,4877659.0,970170014.0,2.046356598e+11,2.046356598e+11,0.004698,1057.841373,2013-03-31,2013-04-18,14.688205,7.412946,17.99462,5.421849,153.984775,197.395,198.674,162.2406875
sh600519,2013-05-09,189.26,197.2,189.26,197.18,0.043888,7013468.0,1370326170.0,2.047083324e+11,2.047083324e+11,0.006756,1058.21704,2013-03-31,2013-04-18,14.693421,7.415579,18.00101,5.423775,154.039459,197.145,198.45,162.6981875
sh600519,2013-05-08,187.8,190.0,186.13,188.89,0.006394,4241606.0,799534954.0,1.961018202e+11,1.961018202e+11,0.004086,1013.726607,2013-03-31,2013-04-18,14.075668,7.103807,17.244197,5.195744,147.563205,193.035,197.836,163.091375
sh600519,2013-05-07,179.02,188.34,179.02,187.69,0.055624,7102055.0,1305178758.0,1.948560042e+11,1.948560042e+11,0.006841,1007.28602,2013-03-31,2013-04-18,13.98624,7.058674,17.134638,5.162733,146.62568,188.29,197.1355,163.4620625
sh600519,2013-05-06,173.0,177.98,171.98,177.8,0.031023,3019639.0,529181415.0,1.84588404e+11,1.84588404e+11,0.002909,954.209093,2013-03-31,2013-04-18,13.249263,6.686731,16.231762,4.890693,138.899532,182.745,195.9215,163.7954375
sh600519,2013-05-03,171.8,174.02,170.6,172.45,0.007831,2146052.0,369986951.0,1.79034141e+11,1.79034141e+11,0.002067,925.497388,2013-03-31,2013-04-18,12.850599,6.48553,15.743356,4.743535,134.72011,175.125,194.689,164.0845
sh600519,2013-05-02,173.0,173.05,169.03,171.11,-0.016553,2858679.0,489586430.0,1.776429798e+11,1.776429798e+11,0.002754,918.306132,2013-03-31,2013-04-18,12.750748,6.435137,15.621028,4.706677,133.673315,171.78,193.232,164.3743125
sh600519,2013-04-26,177.41,178.0,173.01,173.99,-0.015337,1630764.0,285787932.0,1.806329382e+11,1.806329382e+11,0.001571,933.762706,2013-03-31,2013-04-18,12.965363,6.54345,15.883955,4.785898,135.923252,172.55,191.857,164.672625
sh600519,2013-04-25,174.02,177.56,173.22,176.7,0.010465,2535969.0,446045076.0,1.83446406e+11,1.83446406e+11,0.002443,948.306889,2013-03-31,2013-04-18,13.16731,6.645371,16.131362,4.860442,138.040378,175.345,190.585,164.9856875
sh600519,2013-04-24,172.22,175.0,170.3,174.87,0.01781,3040261.0,525381344.0,1.815465366e+11,1.815465366e+11,0.002928,938.485637,2013-03-31,2013-04-18,13.030941,6.576547,15.964295,4.810105,136.610746,175.785,189.247,165.2879375
